iteration,mu_logkn,mu_logatox,sigma_logkn,sigma_logatox,median_ess,median_pct_yr,median_cor_ka,median_kn_sd,n_valid
22,-5.309843911139282,-13.09888789986734,1.2274221196433721,1.0598707598945178,14782.464670434627,8.36113476852579,-0.5283501729977403,0.7962312925818072,357
23,-5.292494185017322,-13.128738641094705,1.2165902340252577,1.0441878654824457,15809.417942745256,8.378520152669111,-0.5145811450208682,0.7943747505475384,357
24,-5.270253816085277,-13.145328949844481,1.205174423424963,1.032635730057215,14773.18072422466,8.325744710858862,-0.543361500940643,0.7807577194665859,357
25,-5.25022850604789,-13.154541433584974,1.1961705920103693,1.0296149110615511,13917.500429916741,8.345816921633876,-0.549161346246385,0.7640639481830238,357
26,-5.238464286636034,-13.169288847573743,1.1873604925885217,1.0181621591619847,15451.152816503303,8.416451932811075,-0.528697132098004,0.7711612183124567,357
27,-5.226904294129431,-13.186333951756104,1.1807056951297574,1.0083836757566345,15789.547977681548,8.412692665528965,-0.5218784916201596,0.7681971404599638,357
28,-5.213638393867731,-13.20050828125473,1.1723235219431136,1.006547263317426,15416.572117258505,8.405478154934077,-0.5195479194744895,0.7592930008533367,357
29,-5.201818162779786,-13.210498785545285,1.1687750812908542,1.0043710628516451,15022.84282033097,8.394768095858806,-0.5334401812363412,0.7480388954962862,357
30,-5.195434840535969,-13.215222032705668,1.1637525396933965,0.9907322220037231,15552.49412376841,8.37468463150982,-0.5232940475579867,0.7523391722260845,357
31,-5.189118231129738,-13.218156247776355,1.1632674538339463,0.9876868500655976,15514.474867362078,8.385467153479432,-0.5386140890885343,0.7455674958006195,357
32,-5.184052481423253,-13.229352527540382,1.1580122128592418,0.9748791814040014,16238.458606492333,8.397878056755692,-0.517577994824191,0.7510697898774777,357
33,-5.1751585086173435,-13.233171193698253,1.1544133889683879,0.9708396088259021,15680.938102921164,8.41899300774428,-0.5265669635862431,0.7388991480499002,357
34,-5.173061398321014,-13.2376621590486,1.1547862727932605,0.9674705679658948,16382.79035905776,8.404056811248228,-0.5153610370812098,0.7414876329314936,357
35,-5.171374757984726,-13.250872235249997,1.154724736886354,0.9859623498120302,16257.75226898876,8.370856511439994,-0.5289744976934824,0.7396663909436973,357
36,-5.16022870093824,-13.246405676446127,1.148966933415253,0.9782516855476686,14104.053485839757,8.314710042685325,-0.5447340176118546,0.7305350601151026,357
37,-5.156661206008932,-13.24396909308577,1.1461091553189842,0.9703481457783985,15349.814723137148,8.451769039701883,-0.5413450660782286,0.7340450559927638,357
38,-5.158854256840677,-13.234531506803274,1.1477055706839219,0.9768371205026138,16361.243285759276,8.456525840723172,-0.527536082647739,0.7381950700182466,357
39,-5.16560042981706,-13.238366246626297,1.1488448936312405,0.9738961205933321,16581.397487832637,8.41594076127442,-0.5103107407344027,0.7401817205853776,357
40,-5.1670117985320285,-13.246350357122346,1.150346336690402,0.9702965337621775,16417.91709766965,8.44835574353926,-0.5117148503336805,0.740337061690618,357
41,-5.163816404119445,-13.239401984527976,1.1519026420374154,0.9850730323343577,15662.795557681084,8.412978973247698,-0.5250557138568218,0.7342042788412584,357
